"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1",-0.5,"Native 1",38,"disamb","fp","disamb fp",6,0,328,328,-0.5,-0.5
"3",-0.5,"Native 1",39,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5
"5",-0.5,"Native 1",26,"disamb","fp","disamb fp",6,0,336,336,-0.5,-0.5
"7",-0.5,"Native 1",34,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5
"9",-0.5,"Native 1",46,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5
"11",-0.5,"Native 1",29,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5
"13",-0.5,"Native 1",36,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5
"15",-0.5,"Native 1",30,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5
"17",-0.5,"Native 1",40,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5
"19",-0.5,"Native 1",33,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5
"21",-0.5,"Native 1",43,"disamb","fp","disamb fp",7,0,311,311,0.5,0.5
"23",-0.5,"Native 1",28,"disamb","fp","disamb fp",8,0,375,375,-0.5,0.5
"25",-0.5,"Native 1",31,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5
"27",-0.5,"Native 1",45,"disamb","fp","disamb fp",5,0,298,298,0.5,-0.5
"29",-0.5,"Native 1",25,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5
"31",-0.5,"Native 1",41,"disamb","fp","disamb fp",5,0,252,252,0.5,-0.5
"33",-0.5,"Native 1",42,"disamb","fp","disamb fp",6,0,682,682,-0.5,-0.5
"35",-0.5,"Native 1",37,"disamb","fp","disamb fp",5,0,253,253,0.5,-0.5
"37",-0.5,"Native 1",32,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5
"39",-0.5,"Native 1",48,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5
"41",-0.5,"Native 1",47,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5
"43",-0.5,"Native 1",44,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5
"45",-0.5,"Native 1",27,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5
