"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"26882",-0.5,"Native 1",24,"reflexive","tt","reflexive tt",4,0,177,177,-0.5,0.5
"26884",-0.5,"Native 1",12,"reflexive","tt","reflexive tt",4,0,654,654,-0.5,0.5
"26886",-0.5,"Native 1",6,"reflexive","tt","reflexive tt",2,0,324,324,0.5,0.5
"26888",-0.5,"Native 1",7,"reflexive","tt","reflexive tt",3,0,661,661,-0.5,-0.5
"26890",-0.5,"Native 1",14,"reflexive","tt","reflexive tt",2,0,463,463,0.5,0.5
"26892",-0.5,"Native 1",21,"reflexive","tt","reflexive tt",1,0,383,383,0.5,-0.5
"26894",-0.5,"Native 1",19,"reflexive","tt","reflexive tt",3,0,346,346,-0.5,-0.5
"26896",-0.5,"Native 1",17,"reflexive","tt","reflexive tt",1,0,547,547,0.5,-0.5
"26898",-0.5,"Native 1",10,"reflexive","tt","reflexive tt",2,0,592,592,0.5,0.5
"26900",-0.5,"Native 1",23,"reflexive","tt","reflexive tt",3,0,926,926,-0.5,-0.5
"26902",-0.5,"Native 1",15,"reflexive","tt","reflexive tt",3,0,487,487,-0.5,-0.5
"26904",-0.5,"Native 1",1,"reflexive","tt","reflexive tt",1,0,317,317,0.5,-0.5
"26906",-0.5,"Native 1",2,"reflexive","tt","reflexive tt",2,0,659,659,0.5,0.5
"26908",-0.5,"Native 1",5,"reflexive","tt","reflexive tt",1,0,179,179,0.5,-0.5
"26910",-0.5,"Native 1",16,"reflexive","tt","reflexive tt",4,0,448,448,-0.5,0.5
"26912",-0.5,"Native 1",3,"reflexive","tt","reflexive tt",3,0,224,224,-0.5,-0.5
"26914",-0.5,"Native 1",13,"reflexive","tt","reflexive tt",1,0,1196,1196,0.5,-0.5
"26916",-0.5,"Native 1",11,"reflexive","tt","reflexive tt",3,0,191,191,-0.5,-0.5
"26918",-0.5,"Native 1",9,"reflexive","tt","reflexive tt",1,0,203,203,0.5,-0.5
"26920",-0.5,"Native 1",8,"reflexive","tt","reflexive tt",4,0,397,397,-0.5,0.5
"26922",-0.5,"Native 1",4,"reflexive","tt","reflexive tt",4,0,531,531,-0.5,0.5
"26924",-0.5,"Native 1",20,"reflexive","tt","reflexive tt",4,0,898,898,-0.5,0.5
"26926",-0.5,"Native 1",18,"reflexive","tt","reflexive tt",2,0,407,407,0.5,0.5
"26928",-0.5,"Native 1",22,"reflexive","tt","reflexive tt",2,0,763,763,0.5,0.5
"26930",-0.5,"Native 2",14,"reflexive","tt","reflexive tt",3,0,527,527,-0.5,-0.5
"26932",-0.5,"Native 2",4,"reflexive","tt","reflexive tt",1,1,0,NA,0.5,-0.5
"26934",-0.5,"Native 2",19,"reflexive","tt","reflexive tt",4,0,401,401,-0.5,0.5
"26936",-0.5,"Native 2",1,"reflexive","tt","reflexive tt",2,0,263,263,0.5,0.5
"26938",-0.5,"Native 2",5,"reflexive","tt","reflexive tt",2,0,748,748,0.5,0.5
"26940",-0.5,"Native 2",15,"reflexive","tt","reflexive tt",4,0,843,843,-0.5,0.5
"26942",-0.5,"Native 2",7,"reflexive","tt","reflexive tt",4,0,710,710,-0.5,0.5
"26944",-0.5,"Native 2",18,"reflexive","tt","reflexive tt",3,0,179,179,-0.5,-0.5
"26946",-0.5,"Native 2",6,"reflexive","tt","reflexive tt",3,1,0,NA,-0.5,-0.5
"26948",-0.5,"Native 2",22,"reflexive","tt","reflexive tt",3,0,502,502,-0.5,-0.5
"26950",-0.5,"Native 2",10,"reflexive","tt","reflexive tt",3,0,522,522,-0.5,-0.5
"26952",-0.5,"Native 2",8,"reflexive","tt","reflexive tt",1,0,206,206,0.5,-0.5
"26954",-0.5,"Native 2",24,"reflexive","tt","reflexive tt",1,0,172,172,0.5,-0.5
"26956",-0.5,"Native 2",17,"reflexive","tt","reflexive tt",2,0,338,338,0.5,0.5
"26958",-0.5,"Native 2",2,"reflexive","tt","reflexive tt",3,1,0,NA,-0.5,-0.5
"26960",-0.5,"Native 2",11,"reflexive","tt","reflexive tt",4,1,0,NA,-0.5,0.5
"26962",-0.5,"Native 2",3,"reflexive","tt","reflexive tt",4,0,231,231,-0.5,0.5
"26964",-0.5,"Native 2",21,"reflexive","tt","reflexive tt",2,0,138,138,0.5,0.5
"26966",-0.5,"Native 2",20,"reflexive","tt","reflexive tt",1,0,181,181,0.5,-0.5
"26968",-0.5,"Native 2",16,"reflexive","tt","reflexive tt",1,0,188,188,0.5,-0.5
"26970",-0.5,"Native 2",13,"reflexive","tt","reflexive tt",2,0,628,628,0.5,0.5
"26972",-0.5,"Native 2",9,"reflexive","tt","reflexive tt",2,0,560,560,0.5,0.5
"26974",-0.5,"Native 2",12,"reflexive","tt","reflexive tt",1,0,143,143,0.5,-0.5
"26976",-0.5,"Native 2",23,"reflexive","tt","reflexive tt",4,0,581,581,-0.5,0.5
"26977",-0.5,"Native 3",11,"reflexive","tt","reflexive tt",1,0,244,244,0.5,-0.5
"26979",-0.5,"Native 3",21,"reflexive","tt","reflexive tt",3,0,322,322,-0.5,-0.5
"26981",-0.5,"Native 3",2,"reflexive","tt","reflexive tt",4,0,1905,1905,-0.5,0.5
