"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"5762",-0.5,"Native 1",24,"spillover2","fp","spillover2 fp",4,0,323,323,-0.5,0.5
"5764",-0.5,"Native 1",12,"spillover2","fp","spillover2 fp",4,0,879,879,-0.5,0.5
"5766",-0.5,"Native 1",6,"spillover2","fp","spillover2 fp",2,0,169,169,0.5,0.5
"5768",-0.5,"Native 1",7,"spillover2","fp","spillover2 fp",3,0,195,195,-0.5,-0.5
"5770",-0.5,"Native 1",14,"spillover2","fp","spillover2 fp",2,0,644,644,0.5,0.5
"5772",-0.5,"Native 1",21,"spillover2","fp","spillover2 fp",1,0,681,681,0.5,-0.5
"5774",-0.5,"Native 1",19,"spillover2","fp","spillover2 fp",3,0,511,511,-0.5,-0.5
"5776",-0.5,"Native 1",17,"spillover2","fp","spillover2 fp",1,0,648,648,0.5,-0.5
"5778",-0.5,"Native 1",10,"spillover2","fp","spillover2 fp",2,0,126,126,0.5,0.5
"5780",-0.5,"Native 1",23,"spillover2","fp","spillover2 fp",3,0,359,359,-0.5,-0.5
"5782",-0.5,"Native 1",15,"spillover2","fp","spillover2 fp",3,0,160,160,-0.5,-0.5
"5784",-0.5,"Native 1",1,"spillover2","fp","spillover2 fp",1,0,593,593,0.5,-0.5
"5786",-0.5,"Native 1",2,"spillover2","fp","spillover2 fp",2,0,150,150,0.5,0.5
"5788",-0.5,"Native 1",5,"spillover2","fp","spillover2 fp",1,0,515,515,0.5,-0.5
"5790",-0.5,"Native 1",16,"spillover2","fp","spillover2 fp",4,0,169,169,-0.5,0.5
"5792",-0.5,"Native 1",3,"spillover2","fp","spillover2 fp",3,0,760,760,-0.5,-0.5
"5794",-0.5,"Native 1",13,"spillover2","fp","spillover2 fp",1,0,178,178,0.5,-0.5
"5796",-0.5,"Native 1",11,"spillover2","fp","spillover2 fp",3,0,695,695,-0.5,-0.5
"5798",-0.5,"Native 1",9,"spillover2","fp","spillover2 fp",1,0,1228,1228,0.5,-0.5
"5800",-0.5,"Native 1",8,"spillover2","fp","spillover2 fp",4,0,1052,1052,-0.5,0.5
"5802",-0.5,"Native 1",4,"spillover2","fp","spillover2 fp",4,0,642,642,-0.5,0.5
"5804",-0.5,"Native 1",20,"spillover2","fp","spillover2 fp",4,0,187,187,-0.5,0.5
"5806",-0.5,"Native 1",18,"spillover2","fp","spillover2 fp",2,0,467,467,0.5,0.5
"5808",-0.5,"Native 1",22,"spillover2","fp","spillover2 fp",2,0,567,567,0.5,0.5
"5810",-0.5,"Native 2",14,"spillover2","fp","spillover2 fp",3,0,301,301,-0.5,-0.5
"5812",-0.5,"Native 2",4,"spillover2","fp","spillover2 fp",1,0,431,431,0.5,-0.5
"5814",-0.5,"Native 2",19,"spillover2","fp","spillover2 fp",4,0,395,395,-0.5,0.5
"5816",-0.5,"Native 2",1,"spillover2","fp","spillover2 fp",2,0,421,421,0.5,0.5
"5818",-0.5,"Native 2",5,"spillover2","fp","spillover2 fp",2,0,359,359,0.5,0.5
"5820",-0.5,"Native 2",15,"spillover2","fp","spillover2 fp",4,0,122,122,-0.5,0.5
"5822",-0.5,"Native 2",7,"spillover2","fp","spillover2 fp",4,0,251,251,-0.5,0.5
"5824",-0.5,"Native 2",18,"spillover2","fp","spillover2 fp",3,0,273,273,-0.5,-0.5
"5826",-0.5,"Native 2",6,"spillover2","fp","spillover2 fp",3,0,439,439,-0.5,-0.5
"5828",-0.5,"Native 2",22,"spillover2","fp","spillover2 fp",3,0,404,404,-0.5,-0.5
"5830",-0.5,"Native 2",10,"spillover2","fp","spillover2 fp",3,0,311,311,-0.5,-0.5
"5832",-0.5,"Native 2",8,"spillover2","fp","spillover2 fp",1,0,201,201,0.5,-0.5
"5834",-0.5,"Native 2",24,"spillover2","fp","spillover2 fp",1,0,125,125,0.5,-0.5
"5836",-0.5,"Native 2",17,"spillover2","fp","spillover2 fp",2,0,229,229,0.5,0.5
"5838",-0.5,"Native 2",2,"spillover2","fp","spillover2 fp",3,0,301,301,-0.5,-0.5
"5840",-0.5,"Native 2",11,"spillover2","fp","spillover2 fp",4,0,282,282,-0.5,0.5
"5842",-0.5,"Native 2",3,"spillover2","fp","spillover2 fp",4,0,328,328,-0.5,0.5
"5844",-0.5,"Native 2",21,"spillover2","fp","spillover2 fp",2,0,124,124,0.5,0.5
"5846",-0.5,"Native 2",20,"spillover2","fp","spillover2 fp",1,0,197,197,0.5,-0.5
"5848",-0.5,"Native 2",16,"spillover2","fp","spillover2 fp",1,1,0,NA,0.5,-0.5
"5850",-0.5,"Native 2",13,"spillover2","fp","spillover2 fp",2,0,198,198,0.5,0.5
"5852",-0.5,"Native 2",9,"spillover2","fp","spillover2 fp",2,0,188,188,0.5,0.5
"5854",-0.5,"Native 2",12,"spillover2","fp","spillover2 fp",1,0,304,304,0.5,-0.5
"5856",-0.5,"Native 2",23,"spillover2","fp","spillover2 fp",4,0,241,241,-0.5,0.5
"5857",-0.5,"Native 3",11,"spillover2","fp","spillover2 fp",1,0,446,446,0.5,-0.5
"5859",-0.5,"Native 3",21,"spillover2","fp","spillover2 fp",3,0,802,802,-0.5,-0.5
"5861",-0.5,"Native 3",2,"spillover2","fp","spillover2 fp",4,0,611,611,-0.5,0.5
"5863",-0.5,"Native 3",20,"spillover2","fp","spillover2 fp",2,0,306,306,0.5,0.5
"5865",-0.5,"Native 3",9,"spillover2","fp","spillover2 fp",3,0,869,869,-0.5,-0.5
"5867",-0.5,"Native 3",4,"spillover2","fp","spillover2 fp",2,0,110,110,0.5,0.5
